title,price,mileage,registration_year,previous_owners,fuel_type,body_type,engine,gearbox,doors,seats,emission_class,service_history
honda civic,9198,78691,2018,3,diesel,hatchback,1.6,manual,5,5,6,unknown
kia sportage,10198,50028,2016,3,petrol,suv,1.6,manual,5,5,6,unknown
ford focus,2350,89000,2010,6,diesel,hatchback,1.6,manual,5,5,5,unknown
honda jazz,1399,171000,2007,1,petrol,hatchback,1.4,manual,5,5,4,unknown
mini hatch,1189,125000,2005,3,petrol,hatchback,1.6,manual,3,4,4,unknown
bmw 5 series,3889,115000,2011,3,diesel,saloon,2.0,manual,4,5,5,unknown
bmw 3 series,2599,99000,2007,1,petrol,saloon,3.0,manual,4,5,4,unknown
vauxhall corsa,2795,71000,2011,3,petrol,hatchback,1.0,manual,3,5,5,unknown
ford fiesta,2699,97500,2009,3,petrol,hatchback,1.3,manual,3,5,4,unknown
vauxhall corsa,3999,36000,2014,2,petrol,hatchback,1.4,manual,3,5,5,unknown
citroen ds4,2700,97385,2013,4,petrol,hatchback,1.6,manual,5,5,5,unknown
peugeot 207,999,111400,2007,2,diesel,hatchback,1.6,manual,5,5,4,unknown
kia sportage,10198,50028,2016,3,petrol,suv,1.6,manual,5,5,6,unknown
vauxhall corsa,10698,22782,2020,3,petrol,hatchback,1.2,manual,5,5,6,unknown
kia rio,3250,66800,2013,1,petrol,hatchback,1.3,manual,3,5,5,unknown
bmw 3 series,2898,98979,2003,3,petrol,coupe,2.5,automatic,2,5,3,unknown
volkswagen golf,2950,98207,2007,4,petrol,hatchback,1.6,automatic,5,5,4,full
vauxhall corsa,1749,60000,2006,3,petrol,hatchback,1.4,manual,5,5,4,unknown
ford focus,2495,101591,2010,3,petrol,hatchback,1.6,manual,5,5,4,full
mazda mazda3,3799,68000,2011,2,petrol,hatchback,1.6,manual,5,5,5,unknown
toyota yaris,1100,164470,2006,3,petrol,hatchback,1.3,manual,5,5,4,unknown
vauxhall corsa,2490,86000,2011,3,petrol,hatchback,1.4,manual,5,5,5,unknown
hyundai i30,3250,90000,2010,3,petrol,estate,1.6,automatic,5,5,4,unknown
volkswagen polo,3000,123000,2010,3,petrol,hatchback,1.4,manual,5,5,5,unknown
volkswagen polo,3495,127000,2015,3,petrol,hatchback,1.0,manual,3,5,6,unknown
vauxhall corsa,10698,22782,2020,3,petrol,hatchback,1.2,manual,5,5,6,unknown
kia sportage,10198,50028,2016,3,petrol,suv,1.6,manual,5,5,6,unknown
ford fiesta,2995,67361,2009,1,petrol,hatchback,1.3,manual,3,5,5,full
mitsubishi outlander,4495,116000,2009,3,petrol,suv,2.4,automatic,5,7,4,full
volkswagen scirocco,3750,99000,2010,3,petrol,hatchback,1.4,manual,3,4,5,unknown
ford fiesta,2945,80997,2009,3,petrol,hatchback,1.3,manual,3,5,4,full
volkswagen passat,2889,100000,2009,3,diesel,estate,2.0,manual,5,5,5,unknown
toyota corolla,995,110846,2005,3,diesel,hatchback,2.0,manual,5,5,3,unknown
seat ibiza,3350,65000,2013,4,petrol,hatchback,1.4,manual,3,3,5,unknown
audi a3,2499,85578,2008,5,petrol,hatchback,1.6,manual,5,5,4,unknown
vauxhall corsa,2100,77502,2012,5,petrol,hatchback,1.2,manual,5,5,5,unknown
audi a3,1800,130500,2011,2,petrol,hatchback,1.6,manual,3,5,5,full
peugeot 207,1299,87000,2008,5,diesel,hatchback,1.6,manual,5,5,4,unknown
kia sportage,10198,50028,2016,3,petrol,suv,1.6,manual,5,5,6,unknown
peugeot 308,9149,55301,2016,3,diesel,hatchback,1.6,manual,5,5,6,unknown
vauxhall astra,2300,64000,2010,6,petrol,hatchback,1.4,manual,5,5,5,unknown
vauxhall corsa,1500,96270,2008,9,petrol,hatchback,1.4,manual,5,5,4,unknown
ford ka,1195,45000,2005,3,petrol,hatchback,1.3,manual,3,5,3,unknown
vauxhall astra,3250,78000,2011,3,petrol,hatchback,1.6,manual,5,5,5,unknown
citroen ds3,5299,54000,2014,3,petrol,hatchback,1.6,manual,3,5,5,full
volkswagen passat,2250,49000,2005,3,diesel,saloon,1.9,automatic,4,5,3,unknown
vauxhall zafira,2495,95000,2011,2,petrol,mpv,1.8,manual,5,7,5,full
ford fiesta,7699,58000,2015,3,petrol,hatchback,1.0,manual,3,5,5,unknown
fiat grande punto,1999,76850,2009,3,petrol,hatchback,1.4,manual,3,5,4,full
